==== Test Report ====
Test: check_spatial_statistical_outliers_min_series
File: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Variable: pr
Dataset Name: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Parameters: {'threshold': 4.5, 'method': 'IQR'}
--- Messages ---
Outliers detected: 3212 points.
Outliers detected in minimum time series: 3212 points.

--- Results (coordinates, values) ---
iqr	(6, 22)	1.8541986836085333e-27,IQR:1.0819311093058758e-28
iqr	(6, 27)	2.867451766654442e-26,IQR:1.0819311093058758e-28
iqr	(6, 28)	2.314124852135398e-26,IQR:1.0819311093058758e-28
iqr	(6, 49)	3.4882689671774497e-25,IQR:1.0819311093058758e-28
iqr	(7, 49)	2.5698850361505187e-27,IQR:1.0819311093058758e-28
The rest of the coordinates are in the summary
--- Summary ---
Dataset: /home/anachite/Bureau/Datatest/DATA_QC/C3S-CMIP6/grr/pr_day_NorCPM1_historical_r1i1p1f1_gn_19500101-20141231.nc
Test: check_spatial_statistical_outliers
Variable: pr
Parameters: {'threshold': 4.5, 'method': 'IQR'}
Score: 0/1
Messages: ['Outliers detected: 3212 points.', 'Outliers detected in minimum time series: 3212 points.']
Coordinates and results:
Name	Index	Value	Score
iqr	(12, 88)	7.381271154291772e-16	IQR:1.0819311093058758e-28
iqr	(12, 89)	6.945306208015739e-19	IQR:1.0819311093058758e-28
iqr	(12, 90)	6.9151359597208905e-25	IQR:1.0819311093058758e-28
iqr	(12, 92)	1.7254742008611806e-20	IQR:1.0819311093058758e-28
iqr	(12, 93)	1.9114297275382945e-18	IQR:1.0819311093058758e-28
iqr	(12, 95)	6.54691021697509e-17	IQR:1.0819311093058758e-28
iqr	(12, 96)	1.0733773509475117e-20	IQR:1.0819311093058758e-28
iqr	(12, 97)	5.990018583032976e-19	IQR:1.0819311093058758e-28
iqr	(12, 98)	3.173163057451155e-20	IQR:1.0819311093058758e-28
iqr	(12, 101)	5.0577185849520995e-25	IQR:1.0819311093058758e-28
iqr	(12, 102)	7.928444555771516e-25	IQR:1.0819311093058758e-28
iqr	(12, 103)	6.825339299048379e-20	IQR:1.0819311093058758e-28
iqr	(12, 104)	1.2852930881195957e-17	IQR:1.0819311093058758e-28
iqr	(12, 105)	1.1775715903344688e-17	IQR:1.0819311093058758e-28
iqr	(12, 106)	8.692424820035531e-17	IQR:1.0819311093058758e-28
iqr	(12, 107)	1.7250817343566797e-21	IQR:1.0819311093058758e-28
iqr	(12, 108)	7.606746030894946e-16	IQR:1.0819311093058758e-28
iqr	(12, 109)	5.171067321560539e-17	IQR:1.0819311093058758e-28
iqr	(12, 110)	2.0520425320974593e-17	IQR:1.0819311093058758e-28
iqr	(12, 111)	8.634200414238294e-20	IQR:1.0819311093058758e-28
iqr	(12, 112)	6.124445255342617e-18	IQR:1.0819311093058758e-28
iqr	(12, 113)	1.5584021348187953e-20	IQR:1.0819311093058758e-28
iqr	(12, 114)	5.066974409859915e-21	IQR:1.0819311093058758e-28
iqr	(12, 124)	2.4195351187841436e-20	IQR:1.0819311093058758e-28
iqr	(12, 128)	4.726711563045231e-25	IQR:1.0819311093058758e-28
iqr	(12, 129)	3.679408190585206e-19	IQR:1.0819311093058758e-28
iqr	(12, 130)	2.4155040802510652e-18	IQR:1.0819311093058758e-28
iqr	(12, 131)	1.3098525199459955e-19	IQR:1.0819311093058758e-28
iqr	(12, 132)	3.795023483295684e-19	IQR:1.0819311093058758e-28
iqr	(12, 134)	3.612064282678224e-21	IQR:1.0819311093058758e-28
iqr	(12, 135)	1.015541342967892e-14	IQR:1.0819311093058758e-28
iqr	(12, 136)	7.802496642386507e-21	IQR:1.0819311093058758e-28
iqr	(12, 137)	2.4027401211750494e-20	IQR:1.0819311093058758e-28
iqr	(12, 138)	1.0117526665226903e-24	IQR:1.0819311093058758e-28
iqr	(12, 139)	5.798168693455852e-16	IQR:1.0819311093058758e-28
iqr	(12, 140)	6.736549644249386e-23	IQR:1.0819311093058758e-28
iqr	(12, 141)	3.119931311741532e-23	IQR:1.0819311093058758e-28
iqr	(12, 142)	3.4634703652327654e-19	IQR:1.0819311093058758e-28
iqr	(13, 0)	1.2767296071240867e-20	IQR:1.0819311093058758e-28
iqr	(13, 1)	5.909527188589089e-18	IQR:1.0819311093058758e-28
iqr	(13, 2)	1.2812513094755118e-13	IQR:1.0819311093058758e-28
iqr	(13, 3)	3.803741633598206e-15	IQR:1.0819311093058758e-28
iqr	(13, 4)	1.1804431478309466e-17	IQR:1.0819311093058758e-28
iqr	(13, 5)	2.292726453134719e-09	IQR:1.0819311093058758e-28
iqr	(13, 6)	3.6582472871741475e-17	IQR:1.0819311093058758e-28
iqr	(13, 7)	6.165721567909013e-18	IQR:1.0819311093058758e-28
iqr	(13, 8)	1.6680792764341336e-21	IQR:1.0819311093058758e-28
iqr	(13, 9)	8.542731201896341e-16	IQR:1.0819311093058758e-28
iqr	(13, 10)	1.5910568943040251e-16	IQR:1.0819311093058758e-28
iqr	(13, 11)	2.3410198658029826e-16	IQR:1.0819311093058758e-28
iqr	(13, 12)	3.456760979207256e-17	IQR:1.0819311093058758e-28
iqr	(13, 13)	3.5405510665364274e-17	IQR:1.0819311093058758e-28
iqr	(13, 14)	7.375147996077763e-21	IQR:1.0819311093058758e-28
iqr	(13, 15)	7.592458342438506e-26	IQR:1.0819311093058758e-28
iqr	(13, 28)	4.699511145995145e-25	IQR:1.0819311093058758e-28
iqr	(13, 29)	2.193832538745379e-17	IQR:1.0819311093058758e-28
iqr	(13, 30)	1.6476223500917083e-17	IQR:1.0819311093058758e-28
iqr	(13, 31)	7.006098619289102e-22	IQR:1.0819311093058758e-28
iqr	(13, 63)	3.213311367080667e-20	IQR:1.0819311093058758e-28
iqr	(13, 64)	6.298558797323556e-22	IQR:1.0819311093058758e-28
iqr	(13, 65)	1.8499608526128766e-16	IQR:1.0819311093058758e-28
iqr	(13, 66)	3.593110321181394e-16	IQR:1.0819311093058758e-28
iqr	(13, 67)	1.6379690199943165e-15	IQR:1.0819311093058758e-28
iqr	(13, 68)	5.268876968837072e-14	IQR:1.0819311093058758e-28
iqr	(13, 69)	1.642289516682579e-17	IQR:1.0819311093058758e-28
iqr	(13, 70)	1.2218315268267314e-16	IQR:1.0819311093058758e-28
iqr	(13, 71)	4.381864315838868e-10	IQR:1.0819311093058758e-28
iqr	(13, 72)	5.90875691800268e-17	IQR:1.0819311093058758e-28
iqr	(13, 73)	1.854245645915853e-10	IQR:1.0819311093058758e-28
iqr	(13, 74)	5.049543005952728e-10	IQR:1.0819311093058758e-28
iqr	(13, 75)	1.1816330885011348e-18	IQR:1.0819311093058758e-28
iqr	(13, 76)	4.213196059973012e-18	IQR:1.0819311093058758e-28
iqr	(13, 77)	1.8633859277801632e-16	IQR:1.0819311093058758e-28
iqr	(13, 78)	1.2229370702590207e-17	IQR:1.0819311093058758e-28
iqr	(13, 79)	1.003836980436206e-26	IQR:1.0819311093058758e-28
iqr	(13, 80)	1.0691011632227364e-18	IQR:1.0819311093058758e-28
iqr	(13, 81)	2.5154000001466585e-22	IQR:1.0819311093058758e-28
iqr	(13, 82)	1.938906829537638e-25	IQR:1.0819311093058758e-28
iqr	(13, 83)	2.775671683006745e-25	IQR:1.0819311093058758e-28
iqr	(13, 84)	9.476748756981717e-26	IQR:1.0819311093058758e-28
